id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
54463,"R. Padre Jesuita - Nossa Sra. da Luz, São Lourenço da Mata - Pernambuco, Brasil",Nordeste,Pernambuco,SAO LOURENCO DA MATA,NOSSA SENHORA DA LUZ,MATRIZ DA LUZ,,-8.037721099999999,-35.1033715,"14/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54461,"Av. Nova do Fundão - Cajueiro, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,CAJUEIRO,ALTO CAJUEIRO,,-8.0145182,-34.8867904,"14/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54446,"Praça Da Charneca - Charneca, Cabo de Santo Agostinho - PE, 54505-415, Brasil",Nordeste,Pernambuco,CABO DE SANTO AGOSTINHO,CHARNECA,,,-8.2962481,-35.05862500000001,"14/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54445,"R. da Boa Hora - Comunidade do V8 - Varadouro, Olinda - PE, 53020-110, Brasil",Nordeste,Pernambuco,OLINDA,VARADOURO,,COMUNIDADE V8,-8.016363141688004,-34.855414407934575,"15/01/2023, 00:00:00",false,false,,Homicidio/Tentativa,,,false,2,1,0,0,0,0,0,0,0,0,0,0,0,0
54470,"Av. Dois Rios, 1600 - Ibura, Recife - PE, 51290-410, Brasil",Nordeste,Pernambuco,RECIFE,IBURA,,,-8.11991150715977,-34.944167630994784,"15/01/2023, 11:00:00",false,false,,Homicidio/Tentativa,,,false,1,1,0,0,0,0,0,0,0,0,0,0,0,0
54471,"Rua Alto do Reservatório - Nova Descoberta, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,NOVA DESCOBERTA,,,-7.9976859,-34.9336551,"15/01/2023, 17:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54488,"R. Cruzeiro, 799 - Brejo da Guabiraba, Recife - PE, 52291-107, Brasil",Nordeste,Pernambuco,RECIFE,BREJO DA GUABIRABA,,,-7.994556478206242,-34.93094022366486,"15/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54487,"Rua Doutor José Marcionilo de Barros Lins - Iputinga, Recife - PE, Brasil",Nordeste,Pernambuco,RECIFE,IPUTINGA,,,-8.0294593,-34.931231,"15/01/2023, 21:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54473,"Posto Pichilau - Av. Dr. Júlio Maranhão - Prazeres, Jaboatão dos Guararapes - PE, Brasil",Nordeste,Pernambuco,JABOATAO DOS GUARARAPES,PRAZERES,,,-8.1772222,-34.9494444,"16/01/2023, 11:00:00",false,false,,Tentativa/Roubo,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54489,"Rua Tocantins - Nova Tiuma, São Lourenço da Mata - PE, Brasil",Nordeste,Pernambuco,SAO LOURENCO DA MATA,NOVA TIUMA,,,-7.9910356,-35.0539612,"16/01/2023, 12:00:00",false,false,,Homicidio/Tentativa,,,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0
